iter	Passed	Remaining
217	278	997
218	279	996
219	280	994
220	281	993
221	283	991
222	284	990
223	285	990
224	287	989
225	288	988
226	289	986
227	291	985
228	292	983
229	293	982
230	294	980
231	295	979
232	297	978
233	298	976
234	299	975
235	300	974
236	302	972
237	303	970
238	304	969
239	305	968
240	307	967
241	308	965
242	309	964
243	310	962
244	311	961
245	313	959
246	314	958
247	315	957
248	316	955
249	318	954
250	319	953
251	320	951
252	321	950
253	323	948
254	324	947
255	325	945
256	326	944
257	328	943
258	329	942
259	330	940
260	331	939
261	333	937
262	334	936
263	335	935
264	336	934
265	337	932
266	339	931
267	340	929
268	341	928
269	343	927
270	344	926
271	345	925
272	346	923
273	348	922
274	349	920
275	350	919
276	351	918
277	352	916
278	354	915
279	355	913
280	356	912
281	358	911
282	359	910
283	360	908
284	361	907
285	362	906
286	364	904
287	365	903
288	366	901
289	367	900
290	369	899
291	370	897
292	371	896
293	372	895
294	374	894
295	375	893
296	376	892
297	378	891
298	379	889
299	380	888
300	381	886
301	383	885
302	384	884
303	385	882
304	386	881
305	388	880
306	389	879
307	390	877
308	391	875
309	392	874
310	393	872
311	395	871
312	396	869
313	397	868
314	398	867
315	399	865
316	401	864
317	402	863
318	403	861
319	404	860
320	406	858
321	407	857
322	408	855
323	409	854
324	410	853
325	412	851
326	413	850
327	414	849
328	416	848
329	417	847
330	418	845
331	419	844
332	420	842
333	421	841
334	423	839
335	424	838
336	425	837
337	426	835
338	428	834
339	429	833
340	430	831
341	431	830
342	432	829
343	434	828
344	435	826
345	436	825
346	437	824
347	439	822
348	440	821
349	441	820
350	442	818
351	443	817
352	445	816
353	446	815
354	447	813
355	449	812
356	450	811
357	451	809
358	452	808
359	454	807
360	455	806
361	456	804
362	457	803
363	458	801
364	460	800
365	461	799
366	462	798
367	464	797
368	465	795
369	466	794
370	467	793
371	469	792
372	470	790
373	471	789
374	472	788
375	474	786
376	475	785
377	476	784
378	477	782
379	478	781
380	479	779
381	481	779
382	482	777
383	484	776
384	485	775
385	486	774
386	488	773
387	489	771
388	490	770
389	491	769
390	493	767
391	494	766
392	495	765
393	496	764
394	498	762
395	499	761
396	500	760
397	501	758
398	502	757
399	504	756
400	505	754
401	506	753
402	507	752
403	509	750
404	510	749
405	511	748
406	512	747
407	513	745
408	515	744
409	516	743
410	517	741
411	518	740
412	520	739
413	521	737
414	522	736
415	523	735
416	524	733
417	526	732
418	527	731
419	528	730
420	529	728
421	531	727
422	532	726
423	533	724
424	534	723
425	536	722
426	537	720
427	538	719
428	539	718
429	540	716
430	541	715
431	543	714
432	544	713
433	545	711
434	546	710
435	548	709
436	549	707
437	550	706
438	552	705
439	553	704
440	554	702
441	555	701
442	556	700
443	558	698
444	559	697
445	560	696
446	561	694
447	562	693
448	564	692
449	565	691
450	566	689
451	567	688
452	569	687
453	570	686
454	571	684
455	572	683
456	574	682
457	575	680
458	576	679
459	577	678
460	579	677
461	580	675
462	581	674
463	582	673
464	583	671
465	585	670
466	586	669
467	587	667
468	588	666
469	589	665
470	591	663
471	592	662
472	593	661
473	595	660
474	596	658
475	597	657
476	598	656
477	599	655
478	601	653
479	602	652
480	603	651
481	604	649
482	606	648
483	607	647
484	608	646
485	610	645
486	611	643
487	612	642
488	613	641
489	615	640
490	616	639
491	617	637
492	619	636
493	620	635
494	621	634
495	623	633
496	624	632
497	625	630
498	627	629
499	628	628
500	629	627
501	630	625
502	632	624
503	633	623
504	634	622
505	635	620
506	637	619
507	638	618
508	639	616
509	640	615
510	642	614
511	643	613
512	644	611
513	645	610
514	647	609
515	648	608
516	649	606
517	650	605
518	651	604
519	653	603
520	654	601
521	656	600
522	657	599
523	658	598
524	659	596
525	661	595
526	662	594
527	663	593
528	665	592
529	666	590
530	667	589
531	668	588
532	670	587
533	671	585
534	672	584
535	674	583
536	675	582
537	677	581
538	678	580
539	679	579
540	681	578
541	682	576
542	683	575
543	685	574
544	686	573
545	687	571
546	689	570
547	690	569
548	691	568
549	693	567
550	694	565
551	695	564
552	697	563
553	698	562
554	700	561
555	701	560
556	702	558
557	704	557
558	705	556
559	706	555
560	707	553
561	709	552
562	710	551
563	711	550
564	712	548
565	714	547
566	715	546
567	717	545
568	718	544
569	719	543
570	721	541
571	722	540
572	723	539
573	725	538
574	726	536
575	727	535
576	728	534
577	730	533
578	731	531
579	732	530
580	733	529
581	735	527
582	736	526
583	737	525
584	738	524
585	739	522
586	741	521
587	742	520
588	743	519
589	745	517
590	746	516
591	747	515
592	748	513
593	749	512
594	751	511
595	752	510
596	753	508
597	754	507
598	756	506
599	757	505
600	759	504
601	760	502
602	761	501
603	763	500
604	764	499
605	765	497
606	767	496
607	768	495
608	769	494
609	770	492
610	772	491
611	773	490
612	774	489
613	776	487
614	777	486
615	778	485
616	780	484
617	781	482
618	782	481
619	783	480
620	785	479
621	786	478
622	787	476
623	789	475
624	790	474
625	791	473
626	793	472
627	794	470
628	795	469
629	797	468
630	798	467
631	799	465
632	801	464
633	802	463
634	803	461
635	804	460
636	806	459
637	807	458
638	808	456
639	809	455
640	811	454
641	812	452
642	813	451
643	814	450
644	816	449
645	817	447
646	818	446
647	819	445
648	821	444
649	822	442
650	823	441
651	824	440
652	826	439
653	827	437
654	828	436
655	830	435
656	831	433
657	832	432
658	833	431
659	835	430
660	836	428
661	837	427
662	839	426
663	840	425
664	841	424
665	842	422
666	844	421
667	845	420
668	846	418
669	847	417
670	849	416
671	850	415
672	851	413
673	852	412
674	853	411
675	855	409
676	856	408
677	857	407
678	858	405
679	859	404
680	860	403
681	861	401
682	863	400
683	864	399
684	865	398
685	867	397
686	868	395
687	870	394
688	871	393
689	872	392
690	873	390
691	875	389
692	876	388
693	878	387
694	879	386
695	881	384
696	882	383
697	883	382
698	885	381
699	886	379
700	887	378
701	888	377
702	890	376
703	891	375
704	893	373
705	894	372
706	895	371
707	897	369
708	898	368
709	899	367
710	900	366
711	902	364
712	903	363
713	905	362
714	906	361
715	907	360
716	909	358
717	910	357
718	911	356
719	913	355
720	914	353
721	915	352
722	917	351
723	918	350
724	919	348
725	921	347
726	922	346
727	924	345
728	925	343
729	926	342
730	927	341
731	929	340
732	930	338
733	931	337
734	933	336
735	934	335
736	936	334
737	937	332
738	938	331
739	939	330
740	941	328
741	942	327
742	943	326
743	944	325
744	946	323
745	947	322
746	948	321
747	949	319
748	950	318
749	952	317
750	953	316
751	954	314
752	955	313
753	957	312
754	958	311
755	959	309
756	961	308
757	962	307
758	963	306
759	965	304
760	966	303
761	968	302
762	969	301
763	970	299
764	972	298
765	973	297
766	974	296
767	975	294
768	977	293
769	978	292
770	980	291
771	981	289
772	983	288
773	984	287
774	986	286
775	987	285
776	988	283
777	989	282
778	991	281
779	992	279
780	993	278
781	995	277
782	996	276
783	998	274
784	999	273
785	1000	272
786	1002	271
787	1003	270
788	1004	268
789	1006	267
790	1007	266
791	1008	264
792	1010	263
793	1011	262
794	1012	261
795	1014	259
796	1015	258
797	1017	257
798	1018	256
799	1019	254
800	1021	253
801	1022	252
802	1023	251
803	1025	249
804	1026	248
805	1028	247
806	1029	246
807	1030	244
808	1032	243
809	1033	242
810	1034	241
811	1035	239
812	1037	238
813	1038	237
814	1039	236
815	1040	234
816	1042	233
817	1043	232
818	1044	230
819	1045	229
820	1047	228
821	1048	226
822	1049	225
823	1050	224
824	1051	223
825	1053	221
826	1054	220
827	1056	219
828	1057	218
829	1058	216
830	1059	215
831	1061	214
832	1062	213
833	1063	211
834	1065	210
835	1066	209
836	1067	207
837	1069	206
838	1070	205
839	1071	204
840	1072	202
841	1074	201
842	1075	200
843	1076	198
844	1077	197
845	1079	196
846	1080	195
847	1081	193
848	1083	192
849	1084	191
850	1086	190
851	1087	188
852	1088	187
853	1089	186
854	1091	185
855	1092	183
856	1093	182
857	1094	181
858	1096	179
859	1097	178
860	1099	177
861	1100	176
862	1101	174
863	1103	173
864	1104	172
865	1105	171
866	1107	169
867	1108	168
868	1109	167
869	1111	166
870	1112	164
871	1113	163
872	1115	162
873	1116	160
874	1117	159
875	1119	158
876	1120	157
877	1121	155
878	1123	154
879	1124	153
880	1126	152
881	1127	150
882	1128	149
883	1129	148
884	1131	146
885	1132	145
886	1133	144
887	1134	143
888	1136	141
889	1137	140
890	1138	139
891	1139	138
892	1141	136
893	1142	135
894	1144	134
895	1145	132
896	1146	131
897	1148	130
898	1149	129
899	1150	127
900	1151	126
901	1153	125
902	1154	124
903	1155	122
904	1157	121
905	1158	120
906	1159	118
907	1160	117
908	1162	116
909	1163	115
910	1164	113
911	1165	112
912	1167	111
913	1168	109
914	1169	108
915	1170	107
916	1172	106
917	1173	104
918	1174	103
919	1175	102
920	1177	100
921	1178	99
922	1179	98
923	1180	97
924	1182	95
925	1183	94
926	1184	93
927	1185	92
928	1187	90
929	1188	89
930	1189	88
931	1190	86
932	1192	85
933	1193	84
934	1194	83
935	1195	81
936	1196	80
937	1198	79
938	1199	77
939	1200	76
940	1202	75
941	1203	74
942	1204	72
943	1206	71
944	1207	70
945	1208	68
946	1209	67
947	1211	66
948	1212	65
949	1214	63
950	1215	62
951	1217	61
952	1218	60
953	1220	58
954	1221	57
955	1223	56
956	1224	55
957	1225	53
958	1226	52
959	1228	51
960	1229	49
961	1230	48
962	1232	47
963	1233	46
964	1234	44
965	1235	43
966	1237	42
967	1238	40
968	1240	39
969	1241	38
970	1242	37
971	1244	35
972	1245	34
973	1246	33
974	1248	32
975	1249	30
976	1250	29
977	1251	28
978	1253	26
979	1254	25
980	1255	24
981	1257	23
982	1258	21
983	1259	20
984	1261	19
985	1263	17
986	1264	16
987	1265	15
988	1266	14
989	1267	12
990	1269	11
991	1270	10
992	1271	8
993	1272	7
994	1274	6
995	1275	5
996	1276	3
997	1277	2
998	1279	1
999	1280	0
